種類,毛色,性別,生年月日,血統書団体名,仕切書No,体重,毛質,耳,ペコ,目,鼻,噛み合わせ,門歯歯列,デベソ,ヘルニア,狼爪,尾,パテラ左,パテラ右,胸,心雑,その他
MIX(PO×PK),,オス,2026/05/15,,1013--1,,,,,,,,,,,,,,,,,
MIX(PO×PK),,オス,2026/05/15,,1013--2,,,,,,,,,,,,,,,,,
ポメラニアン,クリーム,オス,2026/05/14,JKC,1013--3,,,,,,,,,,,,,,,,,父：高尿酸尿症クリア
ミヌエット,ブラウンタビー,オス,2026/05/13,CTS,1189--1,,,,,,,,,,,,,,,,,両親：PKDクリア
セントバーナード,ブラウン＆ホワイト,メス,2026/04/24,JKC,1122--1,10770,,,,,,,,,,左右,,,,,,
チワワ,ブルー＆ホワイト,オス,2026/05/16,JKC,1164--1,640,ロング,,小,斜視小　右目白濁あり,,,,,,,,,,,,全肢パットつながり
チワワ,ブルー＆ホワイト,オス,2026/05/16,JKC,1164--2,725,ロング,,小,斜視小,,セッタン,,,,,,,,,,両後肢パットつながり
チワワ,ブラック＆ホワイト,オス,2026/05/16,JKC,1164--3,555,ロング,,小,斜視小,,,,,,,,,,,,
チワワ,ブラック＆ホワイト,オス,2026/05/16,JKC,1164--4,690,ロング,,小,斜視小,,,,,小,,,,,,,両後肢パットつながり
チワワ,ブラック＆タン,オス,2026/05/13,JKC,1198--1,1090,ロング,,,斜視小,,,,,,,,,,,,背中にしこり有 / 7/4 6種ワクチン済
チワワ,クリーム,オス,2026/05/13,JKC,1198--2,1250,ロング,,,斜視小　左目白濁あり,,,上5本,小,,,,,,,,7/4 6種ワクチン済
チワワ,ブラック＆タン,メス,2026/05/13,JKC,1198--3,955,ロング,,,斜視小　両目若干白濁,,アンダー1ｍｍ,,,,,,,,,,7/4 6種ワクチン済
チワワ,セーブル,オス,2026/05/14,JKC,1198--4,830,スムース,,小,斜視小　両目若干白濁,,,,,小,,,,,,,7/4 6種ワクチン済
チワワ,フォーン,メス,2026/05/14,JKC,1198--5,1105,スムース,,小,斜視小　両目若干白濁,,,,小,小,,,,,,,7/4 6種ワクチン済
チワワ,クリーム＆ホワイト,オス,2026/05/09,JKC,3020--1,880,ロング,,小,斜視小,,,,,,左右,,,,,,
